,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
fixed acidity,1.0000000000000002,0.21900825635099688,0.3244357254472982,-0.11198128107823573,0.29819477170273523,-0.28273542836956295,-0.32905390129521955,0.4589099822804345,-0.25270046831623033,0.29956774438249395,-0.09545152256118046
volatile acidity,0.21900825635099688,1.0,-0.377981317055262,-0.19601117434765453,0.37712427643386315,-0.3525573064134049,-0.4144761946507165,0.27129564785117954,0.26145440274225584,0.22598367974107136,-0.037640385838728745
citric acid,0.3244357254472982,-0.377981317055262,0.9999999999999996,0.1424512259867587,0.03899801408985182,0.1331258095182317,0.19524197598145318,0.09615392906417061,-0.329808191131722,0.05619730013497191,-0.01049349217130386
residual sugar,-0.11198128107823573,-0.19601117434765453,0.1424512259867587,0.9999999999999999,-0.1289404999032683,0.4028706400566608,0.49548158700664824,0.5525169502934877,-0.26731983687681143,-0.1859274052901844,-0.35941477081569695
chlorides,0.29819477170273523,0.37712427643386315,0.03899801408985182,-0.1289404999032683,0.9999999999999999,-0.1950447852077009,-0.27963044744333704,0.36261465655780967,0.04470797955050557,0.3955933065473261,-0.25691557997343245
free sulfur dioxide,-0.28273542836956295,-0.3525573064134049,0.1331258095182317,0.4028706400566608,-0.1950447852077009,1.0000000000000002,0.7209340813785243,0.02571684214466354,-0.145853896400165,-0.18845724880121525,-0.17983843489306064
total sulfur dioxide,-0.32905390129521955,-0.4144761946507165,0.19524197598145318,0.49548158700664824,-0.27963044744333704,0.7209340813785243,0.9999999999999997,0.03239451234680135,-0.23841310290341028,-0.2757268199162059,-0.26573963910943377
density,0.4589099822804345,0.27129564785117954,0.09615392906417061,0.5525169502934877,0.36261465655780967,0.02571684214466354,0.03239451234680135,0.9999999999999999,0.011686080687174243,0.259478495345752,-0.6867454216821347
pH,-0.25270046831623033,0.26145440274225584,-0.329808191131722,-0.26731983687681143,0.04470797955050557,-0.145853896400165,-0.23841310290341028,0.011686080687174243,1.0000000000000004,0.19212340657115357,0.12124846709220168
sulphates,0.29956774438249395,0.22598367974107136,0.05619730013497191,-0.1859274052901844,0.3955933065473261,-0.18845724880121525,-0.2757268199162059,0.259478495345752,0.19212340657115357,1.0000000000000007,-0.003029194942756556
alcohol,-0.09545152256118046,-0.037640385838728745,-0.01049349217130386,-0.35941477081569695,-0.25691557997343245,-0.17983843489306064,-0.26573963910943377,-0.6867454216821347,0.12124846709220168,-0.003029194942756556,0.9999999999999997
