,PC1,PC2
fixed acidity,-0.2387988974315885,0.3363545363136959
volatile acidity,-0.3807574985249641,0.11754971613475607
citric acid,0.1523884379713571,0.1832994028070168
residual sugar,0.34591993022642065,0.3299141808831131
chlorides,-0.290112586165036,0.3152579921406016
free sulfur dioxide,0.4309140076143435,0.07193259884436196
total sulfur dioxide,0.48741806042740926,0.08726627817578195
density,-0.044936636576385414,0.584037336394219
pH,-0.21868644262246,-0.15586900182119975
sulphates,-0.2941351688494623,0.1917157690587579
alcohol,-0.10643711974242964,-0.46505769157384214
