,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
fixed acidity,1.0000,0.2190,0.3244,-0.1120,0.2982,-0.2827,-0.3291,0.4589,-0.2527,0.2996,-0.0955
volatile acidity,0.2190,1.0000,-0.3780,-0.1960,0.3771,-0.3526,-0.4145,0.2713,0.2615,0.2260,-0.0376
citric acid,0.3244,-0.3780,1.0000,0.1425,0.0390,0.1331,0.1952,0.0962,-0.3298,0.0562,-0.0105
residual sugar,-0.1120,-0.1960,0.1425,1.0000,-0.1289,0.4029,0.4955,0.5525,-0.2673,-0.1859,-0.3594
chlorides,0.2982,0.3771,0.0390,-0.1289,1.0000,-0.1950,-0.2796,0.3626,0.0447,0.3956,-0.2569
free sulfur dioxide,-0.2827,-0.3526,0.1331,0.4029,-0.1950,1.0000,0.7209,0.0257,-0.1459,-0.1885,-0.1798
total sulfur dioxide,-0.3291,-0.4145,0.1952,0.4955,-0.2796,0.7209,1.0000,0.0324,-0.2384,-0.2757,-0.2657
density,0.4589,0.2713,0.0962,0.5525,0.3626,0.0257,0.0324,1.0000,0.0117,0.2595,-0.6867
pH,-0.2527,0.2615,-0.3298,-0.2673,0.0447,-0.1459,-0.2384,0.0117,1.0000,0.1921,0.1212
sulphates,0.2996,0.2260,0.0562,-0.1859,0.3956,-0.1885,-0.2757,0.2595,0.1921,1.0000,-0.0030
alcohol,-0.0955,-0.0376,-0.0105,-0.3594,-0.2569,-0.1798,-0.2657,-0.6867,0.1212,-0.0030,1.0000
